Code,Name,Latitude,Longitude,Province,ESSENTIAL,STANDARD,ALL,CHART
CYVR,Vancouver International,49.1947,-123.184,BC,Essential,Standard,All,CHART
CYAL,Alert Bay,50.5894,-126.903,BC,,,,
CYAZ,Tofino-Long Beach,49.0719,-125.776,BC,,,,
CYBD,Bella Coola,52.3992,-126.606,BC,,Standard,All,CHART
CYBL,Campbell River,49.9511,-125.271,BC,,,All,
CYCD,Nanaimo,49.0522,-123.869,BC,,Standard,All,
CYCG,Castlegar/West Kootenay Regional,49.2961,-117.628,BC,,Standard,All,
CYCP,Blue River,52.1283,-119.309,BC,,Standard,All,
CYCQ,Chetwynd,55.7008,-121.611,BC,,Standard,All,
CYCW,Chilliwack,49.1539,-121.928,BC,,,,
CYCZ,Fairmont Hot Springs,50.3297,-116.036,BC,,,,
CYDC,Princeton,49.467,-120.536,BC,,,All,
CYDL,Dease Lake,58.4239,-130.016,BC,,Standard,All,CHART
CYDQ,Dawson Creek,55.7447,-120.183,BC,,Standard,All,
CYGB,Texada/Gillies Bay,49.6972,-124.52,BC,,,,
CYKA,Kamloops,50.7011,-120.441,BC,,Standard,All,
CYLW,Kelowna,49.9572,-119.377,BC,,Standard,All,CHART
CYPK,Pitt Meadows,49.2117,-122.71,BC,,,,
CYPR,Prince Rupert,54.2908,-130.446,BC,,,All,CHART
CYPW,Powell River,49.8322,-124.502,BC,,,All,
CYQZ,Quesnel,52.9753,-122.51,BC,,,All,
CYQQ,Comox,49.7119,-124.896,BC,,Standard,All,
CYYE,Fort Nelson,58.836,-122.597,BC,,Standard,All,CHART
CYWL,Williams Lake,52.1833,-122.053,BC,,Standard,All,CHART
CYXC,Cranbrook/Canadian Rockies International,49.6083,-115.789,BC,,Standard,All,CHART
CYXJ,Fort St. John/North Peace,56.2428,-120.741,BC,,Standard,All,CHART
CYXS,Prince George,53.8825,-122.678,BC,,Standard,All,CHART
CYYD,Smithers,54.8189,-127.181,BC,,Standard,All,CHART
CYYF,Penticton,49.4628,-119.601,BC,,,All,
CYYJ,Victoria International,48.6472,-123.426,BC,Essential,Standard,All,
CYZP,Sandspit,53.2508,-131.815,BC,,Standard,All,CHART
CYZY,Mackenzie,55.303,-123.135,BC,,Standard,All,CHART
CYZZ,Trail,49.0569,-117.585,BC,,,,
CZAM,Salmon Arm,50.6828,-119.229,BC,,,,
CZBB,Vancouver/Boundary Bay,49.0717,-123.003,BC,,,,
CYBA,Banff,51.1961,-115.541,AB,,,,
CYBF,Bonnyville,54.2989,-110.741,AB,,,,
CWBO,Brooks,50.5531,-111.8572,AB,,Standard,All,
CYBW,Calgary/Springbank,51.1028,-114.374,AB,,Standard,All,
CWCT,Coronation,52.0722,-111.45,AB,,Standard,All,
CWGY,Loverna,51.67,-110.206,AB,,Standard,All,CHART
CYEA,Empress,50.9831,-110.0044,AB,,,,
CYEG,Edmonton International,53.3097,-113.579,AB,Essential,Standard,All,CHART
CYET,Edson,53.585,-116.467,AB,,Standard,All,
CYFI,Fort MacKay/Firebag,57.2917,-111.667,AB,,,,
CYJF,Fort Liard Airport,60.236,-123.47,NT,,Standard,All,CHART
CYLL,Lloydminster,53.3094,-110.072,AB,,Standard,All,
CYMM,Fort McMurray,56.6537,-111.222,AB,,Standard,All,CHART
CYQF,Red Deer,52.1831,-113.893,AB,,Standard,All,
CYQL,Lethbridge,49.63,-112.8,AB,,Standard,All,CHART
CYQU,Grande Prairie,55.17,-118.885,AB,,Standard,All,CHART
CYYC,Calgary International,51.1139,-114.019,AB,Essential,Standard,All,CHART
CYXH,Medicine Hat,50.0181,-110.72,AB,,Standard,All,CHART
CZVL,Edmonton/Villeneuve,53.6675,-113.8544,AB,,Standard,All,
CYZH,Slave Lake Airport,55.2931,-114.777,AB,,Standard,All,CHART
CYZU,Whitecourt Airport,54.144,-115.787,AB,,Standard,All,CHART
CWJW,Jasper,52.9256,-118.06,AB,,Standard,All,CHART
CWRM,Rocky Mountain House,52.431,-114.907,AB,,Standard,All,CHART
CWAV,Sundre,51.777,-114.681,AB,,Standard,All,
CWXA,Canmore,51.0772,-115.3567,AB,,Standard,All,
CWDZ,Drumheller,51.4642,-112.7272,AB,,Standard,All,
CWOE,Onefour,49.123,-110.469,AB,,Standard,All,
CWRY,Milk River,49.133,-112.051,AB,,Standard,All,
CWXL,Shamrock,49.734,-111.45,AB,,Standard,All,
CWLB,Lac La Biche,54.769,-112.024,AB,,Standard,All,
CWVI,Vegreville,53.505,-112.098,AB,,Standard,All,
CZPC,Pincher Creek Airport,49.522,-114.005,AB,,Standard,All,CHART
CWGM,Waterton,49.133,-113.806,AB,,Standard,All,CHART
CWRT,Crowsnest Pass,49.628,-114.482,AB,,Standard,All,
CWDK,Claresholm,50.0267,-113.61,AB,,Standard,All,
CYBU,Nipawin,53.3642,-104.011,SK,,Standard,All,
CYEN,Estevan,49.207,-102.963,SK,,Standard,All,CHART
CYFO,Flin Flon,54.6783,-101.682,SK,,Standard,All,
