No.,Stn. ID,Station Name,Software/Program,Telemetry,IP Address,Port,Phone #,Logger,Datalogger Upgrade,Date of Upgrade,OS Version-2025,Update OS-2026,Update Date,Service Provider,Active Date,Rain,Wind,Forecast Region,Corporate ,Latitude,Longitude,Elevation,Modem ,Web Access- Real Time data Connect,Remarks ,Notes,Notes2,Notes3
1,ADA,Adair Auto,Loggernet,Cellular/FIRENET,173.182.8.193,6785,N/A,CR1000X,,,std 8.01,,,FireNet,2023-09-16,TB3,RMY,High Level,High Level,59.1606,-118.3295,394,FireNet,http://173.182.8.193:8000,New station - 9/14/2023 ,,,
2,ALA,Algar Auto,Loggernet,Cellular,68.182.38.9,6785,587-645-4431,CR850,CR1000Xe,30-Jul-26,std 32.03,CR1000X 8.5.1,30-Jul-26,Telus ,2018-07-20,TB4-Kisters,RMY,Fort McMurray,Fort McMurray,56.1608,-111.7198,750,RV55,http://68.182.38.9:8000,Old IP: 173.181.138.23 replaced the modem and logger by Jarret last May 2024 with new IP: 68.182.38.9,,,
3,AMA,Amber Auto,Loggernet,Cellular/FIRENET,173.181.142.132,6785,N/A,CR1000X,,,std 8.01,,,FireNet,2021-05-27,TB3,RMY,High Level,High Level,59.1765,-119.4559,611,FireNet,http://173.181.142.132:8000,New Station May 2021,,,
4,ANA,Ansell Auto,Loggernet,Cellular,96.1.97.132,6785,587-372-8294,CR1000X,,,std 8.01,,,Telus ,2020-08-14,TB3,RMY,Edson,Edson,53.5513,-116.5031,967.7,BGAN/Hughes 9502,http://96.1.97.132:8000,New Station August 2020,,,
5,AWA,Antler West Auto,Loggernet,Inmarsat,8.34.42.54,6785,-1265,CR1000X,,,std 7.02,,,BGAN,2020-08-14,TB3,RMY,Grande Prairie,Grande Prairie,54.0898,-119.7988,1247,BGAN/Hughes 9502,http://8.34.42.54:8000,New Station July 2020,,,
6,B4,Kananaski Boundary Auto,Loggernet,Cellular,96.1.109.35,6785,587-645-4017,CR1000X,,,std 8.01,,,Telus ,1998-01-01,TB3,RMY,Bow,Calgary,50.9258,-115.124,1464,RV55,http://96.1.109.35:800,New Station August 2020,,,
7,BCA,BASSET AUTO,Loggernet,Cellular,96.1.108.186,6785,587-879-4576,CR1000X,,,std 32.03,,,Telus ,2020-07-30,TB3,RMY,High Level,High Level,58.1952,-118.2185,755,RV55,http://96.1.108.186:8000,New Stations July  2020,,,
8,BDA,Bald Mountain Auto,Loggernet,Cellular,173.182.9.231,6785,780-619-0904,CR850,,,std 32.03,,,Telus ,2019-10-24,TB3,RMY,Grande Prairie,Grande Prairie,54.8127,-118.9158,933,RV55,http://173.182.9.231:8000,96.1.108.158 Old IP replaced the modem June 2024 new IP: 173.182.9.231,,,
9,BEA,Berland AUTO,Loggernet,Cellular,96.1.64.166 ,6785,780-292-2129,CR850,,,std 32.03,,,Telus ,2014-08-28,TB3/Pluvio,RMY,Swan Hills,Whitecourt,54.0904,-117.4013,1230,GX400,http://96.1.64.166:8000 ,,,,
10,BHA,Bluehill Auto,Loggernet,Inmarsat,8.34.42.73,6785,-1284,CR1000X,,,std 8.01,,,BGAN,2021-10-28,TB4,RMY,Rocky Mountain,Rocky Mountain,51.7051,-115.2247,1987,BGAN/Hughes 9502,http://8.34.42.73:8000,"New Station Oct. 28, 2021",,,
11,BIA,Birch Mountain Auto,Loggernet,Cellular,68.182.39.92,6785,1-403-819-1615,CR850,,,std 32.03,,,Telus ,2018-07-20,TB3,RMY,Fort McMurray,Fort McMurray,57.6946,-111.8261,798,RV55,http://68.182.39.92:8000,"173.182.29.240 Old IP/Old Phone # 587-782-8171 , replaced the new modem w/  IP #68.182.39.92  & data logger on 8-8-2024 by Jarret W.",,,
12,BRA,BATTLE RIVER AUTO,Loggernet,Cellular,96.1.98.108,6785,780-841.5549,CR850,,,std 32.02,,,Telus ,2018-10-04,TB3,RMY,Mackenzie,Peace River,57.1677,-117.664,675,RV55,http://96.1.98.108:8000,,,,
13,BSA,Bison Lake Auto,Loggernet,Cellular,96.1.108.76,6785,N/A,CR1000X,,,std 32.02,,,Telus ,2020-05-21,TB3,RMY,Red Earth,Peace River,57.111,-116.5096,716,RV55,http://96.1.108.76:8000,New Station May 2020,"Replaced the new datalogger to CR1000X & new modem RV55 with new IP: 96.1.108.76/Tel: NA/Old IP:173.181.138.12 on Oct 29, 2025 by Jason & Chase",,
14,BTA,Blackstone Auto,Loggernet,Cellular,173.182.114.208,6785,N/A,CR850,,,std 32.02,,,Telus ,2020-10-20,TB3,RMY,Rocky Mountain,Rocky Mountain,52.7743,-116.3313,1575.6,RV55,http://173.182.114.208:8000,"New Station Oct. 20, 2021 as BGAN","Replaced the datalogger to CR850 with IP:173.182.114.208 from CR1000X BGAN with IP:8.34.42.118 Tel#+870772821544 on Aug 1, 2025 by Jason R.",,
15,BZA,Brazeau Auto,Loggernet,Cellular,68.182.38.8,6785,587-645-4427,CR1000X,,,std 8.01,,,Telus ,2021-10-27,TB3,RMY,Rocky Mountain,Rocky Mountain,53.0386,-115.4358,1101.3,RV55,http://68.182.38.8:8000,"New Station Oct. 27, 2021",,,
16,C1,Livingston Gap Auto,Loggernet,Inmarsat,8.34.42.26,6785,-1287,CR1000X,,,std 8.01,,,BGAN,1998-01-01,TB3,RMY,Crow,Calgary,49.8793,-114.3827,1403,BGAN/Hughes 9502,http://8.34.42.26:8000,Change From Globalstar to Loggernet August 2020,,,
17,C3,Poll Haven Auto,Loggernet,Cellular,96.1.107.255,6785,587-594-4678,CR850,,,std 32.03,,,Telus ,1998-01-01,TB3,RMY,Crow,Calgary,49.0293,-113.5951,1611,RV55,http://96.1.107.255:8000,Fixed Station May 2021,,,
18,C5,Cypress Hills,Loggernet,Cellular,96.1.106.45,6785,780-296-6743,CR1000X,,,std 8.01,,,Telus ,2005-07-21,TB3,RMY,Cypress Hills,Calgary,49.6356,-110.3296,1459,RV55,http://96.1.106.45:8000,Fixed Station May 2021,March 2022 - Added new zone as Cypress Hills ( 14th Fcst Region),,
