StationID,Lat,Long,StationName,Type,Elevation
501,53.0523,-117.3188,Altalink 501l,PAW,1483.1
58L,51.0349,-115.0479,Altalink 58l,PAW,1381.1
603,49.6412,-113.4927,Altalink 603l Windy Flats,PAW,1017.7
616,49.515,-113.9233,Altalink 616l,PAW,1122
722,49.6706,-111.4936,Altalink 722l,PAW,826
723,54.1552,-114.4711,Altalink 723l,PAW,666.8
725,49.6411,-113.358,Altalink 725l Ft Mcleod,PAW,986.3
743,53.1465,-116.9684,Altalink 743l,PAW,1349.8
753,50.5993,-113.7146,Altalink 753l,PAW,1005.8
763,50.1065,-112.1183,Altalink 763l Vauxhall,PAW,791
777,50.7862,-115.1608,Altalink 777l,PAW,1512.7
799,53.9191,-115.1723,Altalink 799l,PAW,750.1
84L,51.0775,-115.393,Altalink 84l,PAW,1387.8
863,49.4225,-112.8986,Altalink 863l Magrath,PAW,980.2
876,50.6027,-113.0276,Altalink 876l,PAW,1000.2
879,50.1788,-110.4814,Altalink 879l,PAW,758.3
ABEE,54.2773,-112.9654,Abee Agdm,PAW,664
ADA,59.1606,-118.3295,Adair Auto,PAW,394
AKA,49.0333,-114.05,Akamina 2,PAW,1676
ALA,56.1608,-111.7198,Algar Auto,PAW,750
AMA,59.1765,-119.4559,Amber Auto,PAW,611
ANA,53.5513,-116.5031,Ansell Auto,PAW,967.7
AOA,54.7802,-112.8248,Atmore Agdm,PAW,583
ASA,54.4104,-114.7692,Fort Assiniboine Auto Agcm,PAW,676
ATHA,54.6348,-113.3821,Athabasca Agcm,PAW,635
AWA,54.0898,-119.7988,Antler West Auto,PAW,1247
B1,50.4147,-114.7264,Highwood Auto,PAW,1576
B3,51.6547,-115.3617,Yaha Tinda Auto,PAW,1486
B4,50.9258,-115.124,Kananaskis Boundary Auto,PAW,1464
B5,50.7136,-115.1192,Peter Lougheed Pp Auto,PAW,1622
B7,50.905,-114.6911,Elbow Auto,PAW,1413
B8,51.5742,-114.8553,North Ghost Auto,PAW,1477
BARN,49.8017,-112.302,Barnwell Agdm,PAW,824
BARR,54.1,-114.45,Barrhead Cs,PAW,648
BCA,58.1952,-118.2185,Basset  Auto,PAW,755
BDA,54.8127,-118.9158,Bald Mountain Auto,PAW,933
BDAM,54.1772,-110.3228,Beaverdam AGCM,PAW,592
BDIA,50.7068,-114.152,Black Diamond Agcm,PAW,1156
BEA,54.0904,-117.4013,Berland Auto,PAW,1230
BHA,51.7051,-115.2247,Blue Hill Auto,PAW,1987
BIA,57.6946,-111.8261,Birch Mountain Auto,PAW,798
BNA,57.9428,-112.3976,Buckton Auto,PAW,646
BRA,57.1677,-117.664,Battle River Auto,PAW,675
BROO,50.55,-111.85,Brooks,PAW,747
BSA,57.111,-116.5096,Bison Lake Auto,PAW,716
BTA,52.7743,-116.3313,Blackstone Auto,PAW,1575.6
BZA,53.0386,-115.4358,Brazeau Auto,PAW,1101.3
C1,49.8793,-114.3827,Livingston Gap Auto,PAW,1403
C2,49.3936,-114.3408,Castle Auto,PAW,1352
C3,49.0293,-113.5951,Poll Haven Auto,PAW,1611
C4,49.6086,-114.4514,Blairmore Ranger Station Auto,PAW,1311
C5,49.6356,-110.3296,Cypress Hills Ipp Auto,PAW,1459
CAA,57.1117,-118.3333,Chinchaga Auto,PAW,880
CARR,53.6231,-115.8938,Carrot Creek AGCM,PAW,860
CCA,53.4458,-115.8661,Carrot Creek Auto,PAW,1056
CFA,59.2576,-110.8046,Cambrian Auto,PAW,325
CHAT,56.5958,-119.4061,Clear Hills Temp,TAW,1074
CLA,50.1803,-114.1828,Chain Lakes Auto,PAW,1315
CLAK,51.0237,-111.222,Cabin Lake Agcm,PAW,722
CMA,54.9411,-114.04,Chisholm Auto,PAW,685
CNA,51.113,-115.3699,Canmore Auto,PAW,1316
CONS,51.9371,-110.713,Consort Agdm,PAW,772
CPA,55.9534,-110.4972,Cowpar Lake Auto,PAW,553
CRA,55.5884,-111.8496,Christina Auto,PAW,751
